MIN=0	-10	-10
MAX=2000	10	10
SCALE=2000	5	5
DEC=1	2	2
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V
81,2	-0,015	-0,915
81,4	-0,015	-0,915
81,6	-0,015	-0,91
81,8	-0,015	-0,915
82	-0,015	-0,91
82,2	-0,015	-0,91
82,4	-0,015	-0,91
82,6	-0,015	-0,905
82,8	-0,015	-0,91
83	-0,015	-0,905
83,2	-0,015	-0,9
83,4	-0,01	-0,9
83,6	-0,02	-0,905
83,8	-0,01	-0,895
84	-0,015	-0,895
84,2	-0,01	-0,9
84,4	-0,01	-0,895
84,6	-0,01	-0,895
84,8	-0,01	-0,89
85	-0,01	-0,89
85,2	-0,02	-0,895
85,4	-0,01	-0,89
85,6	-0,01	-0,885
85,8	-0,01	-0,89
86	-0,01	-0,885
86,2	-0,015	-0,885
86,4	-0,01	-0,885
86,6	-0,015	-0,885
86,8	-0,015	-0,885
87	-0,015	-0,88
87,2	-0,015	-0,875
87,4	-0,015	-0,88
87,6	-0,015	-0,875
87,8	-0,02	-0,875
88	-0,015	-0,875
88,2	-0,015	-0,87
88,4	-0,02	-0,875
88,6	-0,015	-0,87
88,8	-0,02	-0,865
89	-0,01	-0,87
89,2	-0,02	-0,865
89,4	-0,02	-0,865
89,6	-0,02	-0,865
89,8	-0,02	-0,86
90	-0,02	-0,86
90,2	-0,02	-0,86
90,4	-0,02	-0,86
90,6	-0,015	-0,86
90,8	-0,015	-0,855
91	-0,02	-0,855
91,2	-0,025	-0,855
91,4	-0,015	-0,85
91,6	-0,015	-0,85
91,8	-0,02	-0,85
92	-0,015	-0,845
92,2	-0,015	-0,85
92,4	-0,01	-0,845
92,6	-0,01	-0,845
92,8	-0,015	-0,845
93	-0,01	-0,84
93,2	-0,01	-0,84
93,4	-0,01	-0,84
93,6	-0,01	-0,835
93,8	-0,01	-0,84
94	-0,01	-0,835
94,2	-0,01	-0,835
94,4	-0,01	-0,835
94,6	-0,01	-0,835
94,8	-0,01	-0,83
95	-0,015	-0,835
95,2	-0,01	-0,825
95,4	-0,01	-0,83
95,6	-0,01	-0,825
95,8	-0,01	-0,825
96	-0,01	-0,82
96,2	-0,015	-0,825
96,4	-0,01	-0,82
96,6	-0,015	-0,82
96,8	-0,015	-0,815
97	-0,01	-0,815
97,2	-0,015	-0,815
97,4	-0,015	-0,81
97,6	-0,015	-0,81
97,8	-0,015	-0,81
98	-0,015	-0,81
98,2	-0,015	-0,81
98,4	-0,02	-0,805
98,6	-0,015	-0,805
98,8	-0,015	-0,805
99	-0,015	-0,805
99,2	-0,015	-0,8
99,4	-0,015	-0,8
99,6	-0,01	-0,8
99,8	-0,015	-0,8
100	-0,01	-0,795
